naics17,naics_bucket,naics_bucket_title
111110,11,"Agriculture, Forestry, Fishing and HuntingT"
111120,11,"Agriculture, Forestry, Fishing and HuntingT"
111130,11,"Agriculture, Forestry, Fishing and HuntingT"
111140,11,"Agriculture, Forestry, Fishing and HuntingT"
111150,11,"Agriculture, Forestry, Fishing and HuntingT"
111160,11,"Agriculture, Forestry, Fishing and HuntingT"
111191,11,"Agriculture, Forestry, Fishing and HuntingT"
111199,11,"Agriculture, Forestry, Fishing and HuntingT"
111211,11,"Agriculture, Forestry, Fishing and HuntingT"
111219,11,"Agriculture, Forestry, Fishing and HuntingT"
111310,11,"Agriculture, Forestry, Fishing and HuntingT"
111320,11,"Agriculture, Forestry, Fishing and HuntingT"
111331,11,"Agriculture, Forestry, Fishing and HuntingT"
111332,11,"Agriculture, Forestry, Fishing and HuntingT"
111333,11,"Agriculture, Forestry, Fishing and HuntingT"
111334,11,"Agriculture, Forestry, Fishing and HuntingT"
111335,11,"Agriculture, Forestry, Fishing and HuntingT"
111336,11,"Agriculture, Forestry, Fishing and HuntingT"
111339,11,"Agriculture, Forestry, Fishing and HuntingT"
111411,11,"Agriculture, Forestry, Fishing and HuntingT"
111419,11,"Agriculture, Forestry, Fishing and HuntingT"
111421,11,"Agriculture, Forestry, Fishing and HuntingT"
111422,11,"Agriculture, Forestry, Fishing and HuntingT"
111910,11,"Agriculture, Forestry, Fishing and HuntingT"
111920,11,"Agriculture, Forestry, Fishing and HuntingT"
111930,11,"Agriculture, Forestry, Fishing and HuntingT"
111940,11,"Agriculture, Forestry, Fishing and HuntingT"
111991,11,"Agriculture, Forestry, Fishing and HuntingT"
111992,11,"Agriculture, Forestry, Fishing and HuntingT"
111998,11,"Agriculture, Forestry, Fishing and HuntingT"
112111,11,"Agriculture, Forestry, Fishing and HuntingT"
112112,11,"Agriculture, Forestry, Fishing and HuntingT"
112120,11,"Agriculture, Forestry, Fishing and HuntingT"
112210,11,"Agriculture, Forestry, Fishing and HuntingT"
112310,11,"Agriculture, Forestry, Fishing and HuntingT"
112320,11,"Agriculture, Forestry, Fishing and HuntingT"
112330,11,"Agriculture, Forestry, Fishing and HuntingT"
112340,11,"Agriculture, Forestry, Fishing and HuntingT"
112390,11,"Agriculture, Forestry, Fishing and HuntingT"
112410,11,"Agriculture, Forestry, Fishing and HuntingT"
112420,11,"Agriculture, Forestry, Fishing and HuntingT"
112511,11,"Agriculture, Forestry, Fishing and HuntingT"
112512,11,"Agriculture, Forestry, Fishing and HuntingT"
112519,11,"Agriculture, Forestry, Fishing and HuntingT"
112910,11,"Agriculture, Forestry, Fishing and HuntingT"
112920,11,"Agriculture, Forestry, Fishing and HuntingT"
112930,11,"Agriculture, Forestry, Fishing and HuntingT"
112990,11,"Agriculture, Forestry, Fishing and HuntingT"
113110,11,"Agriculture, Forestry, Fishing and HuntingT"
113210,11,"Agriculture, Forestry, Fishing and HuntingT"
113310,11,"Agriculture, Forestry, Fishing and HuntingT"
114111,11,"Agriculture, Forestry, Fishing and HuntingT"
114112,11,"Agriculture, Forestry, Fishing and HuntingT"
114119,11,"Agriculture, Forestry, Fishing and HuntingT"
114210,11,"Agriculture, Forestry, Fishing and HuntingT"
115111,11,"Agriculture, Forestry, Fishing and HuntingT"
115112,11,"Agriculture, Forestry, Fishing and HuntingT"
115113,11,"Agriculture, Forestry, Fishing and HuntingT"
115114,11,"Agriculture, Forestry, Fishing and HuntingT"
115115,11,"Agriculture, Forestry, Fishing and HuntingT"
115116,11,"Agriculture, Forestry, Fishing and HuntingT"
115210,11,"Agriculture, Forestry, Fishing and HuntingT"
115310,11,"Agriculture, Forestry, Fishing and HuntingT"
211120,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
211130,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212111,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212112,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212113,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212210,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212221,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212222,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212230,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212291,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212299,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212311,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212312,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212313,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212319,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212321,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212322,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212324,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212325,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212391,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212392,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212393,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
212399,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
213111,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
213112,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
213113,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
213114,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
213115,21,"Mining, Quarrying, and Oil and Gas ExtractionT"
221111,22,UtilitiesT
221112,22,UtilitiesT
221113,22,UtilitiesT
221114,22,UtilitiesT
221115,22,UtilitiesT
221116,22,UtilitiesT
221117,22,UtilitiesT
221118,22,UtilitiesT
221121,22,UtilitiesT
221122,22,UtilitiesT
221210,22,UtilitiesT
221310,22,UtilitiesT
221320,22,UtilitiesT
221330,22,UtilitiesT
236115,23,ConstructionT
236116,23,ConstructionT
236117,23,ConstructionT
236118,23,ConstructionT
236210,23,ConstructionT
236220,23,ConstructionT
237110,23,ConstructionT
237120,23,ConstructionT
237130,23,ConstructionT
237210,23,ConstructionT
237310,23,ConstructionT
237990,23,ConstructionT
238110,23,ConstructionT
238120,23,ConstructionT
238130,23,ConstructionT
