psc_type,portfolio_group,portfolio,psc_code,psc_code_start_date,psc_code_end_date,psc_code_short_name,psc_code_long_name,psc_code_includes,psc_code_excludes,psc_code_notes
Product,"Aircraft, Ships, Submarines & Land Vehicles",Aircraft,1510,10/15/78,,"AIRCRAFT, FIXED WING","Aircraft, Fixed Wing",,,"This class includes only complete aircraft.  End  items, assemblies, parts, attachments, or accessories for  use in or on fixed wing aircraft are classified in classes  other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Aircraft,1520,10/15/78,,"AIRCRAFT, ROTARY WING","Aircraft, Rotary Wing",Helicopters.,,"This class includes only complete aircraft.  End items, assemblies, parts, attachments, or accessories for use in or on rotary wing aircraft are classified in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Aircraft,1540,5/15/79,,GLIDERS,Gliders,Motorized Gliders.,,"This class includes only complete gliders.  End items, assemblies, parts, attachments, or accessories for use in or on gliders are classified in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Aircraft,1555,8/20/15,,SPACE VEHICLES,,,,This class includes only complete space vehicles in assmebled or unassembled form.
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2305,11/15/78,,GROUND EFFECT VEHICLES,Ground Effect Vehicles,,,
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2310,10/15/78,,PASSENGER MOTOR VEHICLES,Passenger Motor Vehicles,"Cars, Motor, Highway; Buses; Chassis, Passenger  Motor Vehicle; Hearses; Ambulances.",Amphibious Personnel Carriers; All Truck Chassis.,"This class includes only complete passenger motor vehicles, and chassis therefor.  Any end items, assemblies, parts, attachments, or accessories, other than complete  chassis, for use in or on passenger motor vehicles are  classified in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2320,10/15/78,,"TRUCKS AND TRUCK TRACTORS, WHEELED","Trucks and Truck Tractors, Wheeled","Panel, Delivery and Pick Up Trucks, Tactical and  Administrative Military Cargo Carrying Vehicles, including  Wheel Mounted Amphibian Vehicles; Truck Tractor and Trailer  Combinations; Armored Cars.","Fire Trucks; Special Construction Type Earth and Rock Hauling Trucks; Motorized Air Compressors; Motorized Concrete  Mixers; Construction Specialized Machinery Generally;  Specially designed trucks for use in and around, airfields, hangars, and warehouses; Tracked and Halftracked Vehicles.","This class includes only complete wheel mounted  trucks and truck tractors, and chassis therefore.   Any end items, assemblies, parts, attachments, or accessories other than complete chassis, for use in or on such trucks or  truck tractors are classified in classes other than this  class.  The combined chassis and body of a special purpose  truck, such as a machine shop, mobile laundry, or dental  laboratory, is classified in this class.  The complete mobile  unit, consisting of chassis, body, and additional equipment, as in an equipped truck mounted machine shop, is excluded from this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2330,10/15/78,,TRAILERS,Trailers,"Semitrailers; Semitrailer Dollies; Cargo Trailers; Passenger and House Trailers; Special Purpose Trailers,  such as Ammunition.","Fire Fighting Trailers; Specially designed trailers for use in and around airfields, hangars, and warehouses.","This class includes only complete trailers, and  chassis therefor.  Any end items, assemblies, parts,  attachments, or accessories, other than complete chassis, for use in or on trailers are classified in classes other  than this class.  The combined chassis and body of a special purpose trailer, such as a machine shop, mobile laundry, or dental laboratory, is classified in this class. The complete mobile unit, consisting of chassis, body, and additional equipment, as in an equipped trailer-mounted machine shop,  is excluded from this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2340,10/1/11,,"MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES","Motorcycles, Motor Scooters, and Bicycles",Sidecars; Tricycles.,Children's Wheeled Goods.,"This class includes only complete motorcycles,  complete motor scooters, and complete bicycles.  End items,  assemblies, parts, attachments, or accessories for use in or  on motorcycles, motor scooters, or bicycles are classified  in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2350,10/1/11,,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED","Combat, Assault, and Tactical Vehicles, Tracked",Tanks and Tracked Self-Propelled Weapons and  Vehicles with or without amphibian capabilities; Armored  Halftracks; Self-Propelled Sleds; and Self-Propelled Flame  Throwers.,Wheel Mounted Vehicles,"This class includes only complete combat, assault, and tactical tracked vehicles, and chassis therefor.  Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on such vehicles are classified in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2355,10/1/11,,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED","Combat, Assault, and Tactical Vehicles, Wheeled",Wheeled Self-Propelled Weapons and combat vehicles with or without amphibian capabilities; Armored Wheeled Vehicles; Self-Propelled Wheeled Sleds; and Self-Propelled Wheeled Flame Throwers.,"Track Mounted Vehicles not specifically designed for combat, assault, textical situations; Passenger Motor Vehicles (FSC 2310)","This class includes only complete combat, assault, and tactical wheeled vehicles and chassis.  Any end items, assemblies, parts, attachments, or accessories, other than complete chasis, for use in or on such vehilces are classified in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2410,10/1/11,,"TRACTOR, FULL TRACKED, LOW SPEED","Tractors, Full Tracked, Low Speed",,High Speed Tractors (FSC Class 2430 Armored  Dozer-Scraper Combination Tractors (FSC Class 2350).,"This class includes only complete low speed, full track tractors, and chassis therefor.  Any end items,  assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on low speed, full track  tractors are classified in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2420,10/15/78,,"TRACTORS, WHEELED","Tractors, Wheeled",Agricultural Tractors; High Speed Tractors; Industrial Tractors.,Aircraft Towing Tractors and Crashed Aircraft Moving Tractors (FSC Class 1740); Aircraft Towing-Power Servicing Tractors (FSC Class 1730); Warehouse Tractors (FSC Class 3930).,"This class includes only complete wheeled tractors, and chassis therefor.  Any end items, assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on wheeled tractors, are classified in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Land Vehicles,2430,11/15/78,,"TRACTORS, FULL TRACKED, HIGH SPEED","Tractors, Full Tracked, High Speed",,Low Speed Tractors (FSC Class 2410); Armored Dozer-Scraper Combination Tractors (FSC Class 2350).,"This class includes only complete high speed track laying tractors, and chassis therefor.  Any end items. assemblies, parts, attachments, or accessories, other than complete chassis, for use in or on high speed track laying tractors, are classified in classes other than this class."
Product,"Aircraft, Ships, Submarines & Land Vehicles",Ships & Submarines,1905,10/15/78,,COMBAT SHIPS AND LANDING VESSELS,Combat Ships and Landing Vessels,Aircraft Carriers; Battleships; Cruises; Destroyers; Submarines; Frigates and  Corvettes; Gunboats; Motor Torpedo Boats; Subchasers;  Landing Barges; Minelaying and Mine Sweeping Craft.,,
Product,"Aircraft, Ships, Submarines & Land Vehicles",Ships & Submarines,1910,11/15/78,,"TRANSPORT VESSELS-PASSENGER & TROOP","Transport Vessels, Passenger and Troop",,,
Product,"Aircraft, Ships, Submarines & Land Vehicles",Ships & Submarines,1915,11/15/78,,CARGO AND TANKER VESSELS,Cargo and Tanker Vessels,,,
