expense_type,expense_type_key,expense_type_name
SL-0DC,181,0DC
SL-401K,182,401K
SL-ACTIVITIES,183,ACTIVITIES
SL-AGRICULT MATLS,19,AGRICULT MATLS
SL-ALLOC FRINGE FLD,21,ALLOC FRINGE FLD
SL-ALLOC G&A,22,ALLOC G&A
SL-ALLOC G&A SUBS,23,ALLOC G&A SUBS
SL-ALLOC OH,24,ALLOC OH
SL-ALLOC OH FLD,25,ALLOC OH FLD
SL-ALLOW EDUCATION,26,ALLOW EDUCATION
SL-ALLOW HOUSING,27,ALLOW HOUSING
SL-ALLOW MEDICAL,28,ALLOW MEDICAL
SL-ALLOW PARTICIPNT,29,ALLOW PARTICIPNT
SL-ALLOW SECURITY,30,ALLOW SECURITY
SL-ALLOW SEP. MAINT,31,ALLOW SEP. MAINT
SL-ALLOW SETTLNG IN,32,ALLOW SETTLNG IN
SL-ALLOW SHIPPING,33,ALLOW SHIPPING
SL-ALLOW STORAGE,34,ALLOW STORAGE
SL-ALLOW TEMP LVING,35,ALLOW TEMP LVING
SL-ALLOW UTILITIES,36,ALLOW UTILITIES
SL-ALLOW VEHICLES,37,ALLOW VEHICLES
SL-ALLOW-UNACCO BAG,38,ALLOW-UNACCO BAG
SL-ALLOWANCES,39,ALLOWANCES
SL-AMORTIZATION,40,AMORTIZATION
SL-AMT IN EXCESS,41,AMT IN EXCESS
SL-APPLD FR FIELD,42,APPLD FR FIELD
SL-APPLD FRINGE,43,APPLD FRINGE
SL-APPLD G&A,44,APPLD G&A
SL-APPLD OH,45,APPLD OH
SL-AUDIT ADJ,189,AUDIT ADJ
SL-BANK CHARGES,46,BANK CHARGES
SL-BLDG MAINTENANCE,47,BLDG MAINTENANCE
SL-BONUS,48,BONUS
SL-BOOKS / TAPES,49,BOOKS / TAPES
SL-BUILDING MAINTEE,50,BUILDING MAINTEE
SL-BUILDING MAINTEN,51,BUILDING MAINTEN
SL-CLOTHING,52,CLOTHING
SL-COLA,53,COLA
SL-COMPUTERS-NONEXP,54,COMPUTERS-NONEXP
SL-CONFERENCE,55,CONFERENCE
SL-CONSULTANT,56,CONSULTANT
SL-CONSULTANT EXPS,190,CONSULTANT EXPS
SL-CONSULTANT ODC,57,CONSULTANT ODC
SL-CONSULTANT T&M,192,CONSULTANT T&M
SL-CONSULTANT TRVL,191,CONSULTANT TRVL
SL-CORE LEADERSHIP,58,CORE LEADERSHIP
SL-COUNTRY SPEC BON,187,COUNTRY SPEC BON
SL-DANGER PAY,59,DANGER PAY
SL-DEFERRED COMP.,60,DEFERRED COMP.
SL-DELIVERY,61,DELIVERY
SL-DEPRECIATION,62,DEPRECIATION
SL-DIRECTORS FEE,63,DIRECTORS FEE
SL-DISABILITY,64,DISABILITY
SL-DUPLICATION,65,DUPLICATION
SL-DIR-MATL,9,Direct Materials
SL-EQUIP MAINTENANE,66,EQUIP MAINTENANE
SL-EQUIPMENT,67,EQUIPMENT
SL-EQUIPMENT-NONEXP,68,EQUIPMENT-NONEXP
SL-EQUIPMENT-RENTAL,69,EQUIPMENT-RENTAL
SL-EXCH RATE VAR.,70,EXCH RATE VAR.
SL-EXECUTIVE PKG,71,EXECUTIVE PKG
SL-EXPENDABLE COMP,72,EXPENDABLE COMP
SL-EXPENDABLE EQUIP,73,EXPENDABLE EQUIP
SL-FACILITIES COST,74,FACILITIES COST
SL-FEE,75,FEE
SL-FEE-MILESTONE,76,FEE-MILESTONE
SL-FEES APPLICATION,77,FEES APPLICATION
SL-FEES COMMISSION,78,FEES COMMISSION
SL-FEES MEMBERSHIP,79,FEES MEMBERSHIP
SL-FIELD FRINGE,80,FIELD FRINGE
SL-FIELD LABOR,81,FIELD LABOR
SL-FLEXIBLE SPEND,82,FLEXIBLE SPEND
SL-FOOD,83,FOOD
SL-FRANCHISE TAX,84,FRANCHISE TAX
SL-FURN/APPL-EXP,85,FURN/APPL-EXP
SL-FURN/APPL-NONEXP,86,FURN/APPL-NONEXP
SL-FURN/APPL-RENTAL,87,FURN/APPL-RENTAL
SL-FURNITURE APPLIA,88,FURNITURE APPLIA
SL-GASOLINE,89,GASOLINE
SL-GRANTS,90,GRANTS
SL-GROUP HEALTH,91,GROUP HEALTH
SL-GUARDS SECURITY,92,GUARDS SECURITY
SL-GUEST/COMPOUND,93,GUEST/COMPOUND
SL-HEALTH&WELLNESS,94,HEALTH&WELLNESS
SL-HOLIDAY,95,HOLIDAY
SL-HOUSING ALLOW,96,HOUSING ALLOW
SL-IN EXC. OF FUNDG,97,IN EXC. OF FUNDG
SL-INSURANCE - OTHR,98,INSURANCE - OTHR
SL-INSURANCE DBA,99,INSURANCE DBA
SL-INSURANCE MEDEX,100,INSURANCE MEDEX
SL-INSURANCE VEHICE,101,INSURANCE VEHICE
SL-INTERNET,102,INTERNET
SL-INTERVIEW/HONOR,103,INTERVIEW/HONOR
SL-LABOR,104,LABOR
LABOR CAP NEGATIVE,184,LABOR CAP NEGATIVE
SL-LABOR CAP,105,LABOR CAP POSITIVE
SL-LABOR-RRB,106,LABOR-RRB
SL-LEAVE,107,LEAVE
SL-LICENSES,108,LICENSES
SL-LIFE INSURANCE,109,LIFE INSURANCE
SL-LIQUIDATION,110,LIQUIDATION
SL-LOGISTIC SUPPORT,111,LOGISTIC SUPPORT
SL-MEALS-REQD,112,MEALS-REQD
SL-MEDEX,113,MEDEX
SL-MEDICAL,114,MEDICAL
SL-MEETING EXPENSE,115,MEETING EXPENSE
SL-MISCELLANEOUS,116,MISCELLANEOUS
SL-MOVING,117,MOVING
SL-ODC,118,ODC
SL-OFFICE STORAGE,119,OFFICE STORAGE
SL-OTHER FRINGE,120,OTHER FRINGE
SL-PARKING STAFF,121,PARKING STAFF
SL-PAYROLL TAXES,122,PAYROLL TAXES
SL-POST ALLOW,123,POST ALLOW
